Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
47	16:46:02	16:46:02	16:46:02	16:46:02	16:46:02	16:46:02			16:46:02	16:46:02	16:46:04	16:46:04	16:46:04	16:46:04	16:46:04	16:46:04			16:46:05	16:46:05		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
48	16:46:05	16:46:05	16:46:05	16:46:05	16:46:05	16:46:05			16:46:05	16:46:05	16:46:07	16:46:07	16:46:07	16:46:07	16:46:07	16:46:07			16:46:08	16:46:08		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
49	16:46:08	16:46:08	16:46:08	16:46:08	16:46:08	16:46:08			16:46:08	16:46:08	16:46:09	16:46:09	16:46:09	16:46:09	16:46:09	16:46:09			16:46:10	16:46:10		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
50	16:46:11	16:46:11	16:46:11	16:46:11	16:46:11	16:46:11	16:46:11	16:46:11	16:46:11	16:46:11	16:46:12	16:46:12	16:46:12	16:46:12	16:46:12	16:46:12	16:46:12	16:46:12	16:46:14	16:46:14		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
51	16:46:14	16:46:14	16:46:14	16:46:14	16:46:14	16:46:14			16:46:14	16:46:14	16:46:16	16:46:16	16:46:16	16:46:16	16:46:16	16:46:16			16:46:17	16:46:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
52	16:46:17	16:46:17	16:46:17	16:46:17	16:46:17	16:46:17			16:46:17	16:46:17	16:46:19	16:46:19	16:46:19	16:46:19	16:46:19	16:46:19			16:46:19	16:46:19		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
53	16:46:20	16:46:20	16:46:20	16:46:20	16:46:20	16:46:20			16:46:20	16:46:20	16:46:21	16:46:21	16:46:21	16:46:21	16:46:21	16:46:21			16:46:22	16:46:22		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
54	16:46:22	16:46:22	16:46:22	16:46:22	16:46:22	16:46:22			16:46:22	16:46:22	16:46:24	16:46:24	16:46:24	16:46:24	16:46:24	16:46:24			16:46:25	16:46:25		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
55	16:46:25	16:46:25	16:46:25	16:46:25	16:46:25	16:46:25			16:46:25	16:46:25	16:46:27	16:46:27	16:46:27	16:46:27	16:46:27	16:46:27			16:46:28	16:46:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
56	16:46:28	16:46:28	16:46:28	16:46:28	16:46:28	16:46:28			16:46:28	16:46:28	16:46:29	16:46:29	16:46:29	16:46:29	16:46:29	16:46:29			16:46:31	16:46:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
57	16:46:31	16:46:31	16:46:31	16:46:31	16:46:31	16:46:31			16:46:31	16:46:31	16:46:32	16:46:32	16:46:32	16:46:32	16:46:32	16:46:32			16:46:33	16:46:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
58	16:46:34	16:46:34	16:46:34	16:46:34	16:46:34	16:46:34			16:46:34	16:46:34	16:46:35	16:46:35	16:46:35	16:46:35	16:46:35	16:46:35			16:46:36	16:46:36		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
59	16:46:36	16:46:36	16:46:36	16:46:36	16:46:36	16:46:36			16:46:36	16:46:36	16:46:38	16:46:38	16:46:38	16:46:38	16:46:38	16:46:38			16:46:39	16:46:39		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
60	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:41	16:46:41	16:46:41	16:46:41	16:46:41	16:46:41	16:46:41	16:46:41	16:46:42	16:46:42		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
61	16:46:42	16:46:42	16:46:42	16:46:42	16:46:42	16:46:42			16:46:42	16:46:42	16:46:44	16:46:44	16:46:44	16:46:44	16:46:44	16:46:44			16:46:45	16:46:45		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
62	16:46:45	16:46:45	16:46:45	16:46:45	16:46:45	16:46:45			16:46:45	16:46:45	16:46:46	16:46:46	16:46:46	16:46:46	16:46:46	16:46:46			16:46:47	16:46:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
63	16:46:48	16:46:48	16:46:48	16:46:48	16:46:48	16:46:48			16:46:48	16:46:48	16:46:49	16:46:49	16:46:49	16:46:49	16:46:49	16:46:49			16:46:50	16:46:50		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
64	16:46:50	16:46:50	16:46:50	16:46:50	16:46:50	16:46:50			16:46:50	16:46:50	16:46:52	16:46:52	16:46:52	16:46:52	16:46:52	16:46:52			16:46:53	16:46:53		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
65	16:46:53	16:46:53	16:46:53	16:46:53	16:46:53	16:46:53			16:46:53	16:46:53	16:46:54	16:46:54	16:46:54	16:46:54	16:46:54	16:46:54			16:46:55	16:46:55		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
66	16:46:56	16:46:56	16:46:56	16:46:56	16:46:56	16:46:56			16:46:56	16:46:56	16:46:57	16:46:57	16:46:57	16:46:57	16:46:57	16:46:57			16:46:58	16:46:58		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
67	16:46:58	16:46:58	16:46:58	16:46:58	16:46:59	16:46:59			16:46:59	16:46:59	16:47:00	16:47:00	16:47:00	16:47:00	16:47:00	16:47:00			16:47:01	16:47:01		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
68	16:47:01	16:47:01	16:47:01	16:47:01	16:47:01	16:47:01			16:47:01	16:47:01	16:47:03	16:47:03	16:47:03	16:47:03	16:47:03	16:47:03			16:47:04	16:47:04		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
69	16:47:04	16:47:04	16:47:04	16:47:04	16:47:04	16:47:04			16:47:04	16:47:04	16:47:05	16:47:05	16:47:05	16:47:05	16:47:05	16:47:05			16:47:06	16:47:06		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
70	16:47:06	16:47:06	16:47:06	16:47:06	16:47:06	16:47:06	16:47:06	16:47:07	16:47:07	16:47:07	16:47:08	16:47:08	16:47:08	16:47:08	16:47:08	16:47:08	16:47:08	16:47:08	16:47:10	16:47:10		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
71	16:47:10	16:47:10	16:47:10	16:47:10	16:47:10	16:47:10			16:47:10	16:47:10	16:47:11	16:47:11	16:47:11	16:47:11	16:47:11	16:47:11			16:47:12	16:47:12		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
72	16:47:13	16:47:13	16:47:13	16:47:13	16:47:13	16:47:13			16:47:13	16:47:13	16:47:14	16:47:14	16:47:14	16:47:14	16:47:14	16:47:14			16:47:15	16:47:15		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
73	16:47:15	16:47:15	16:47:15	16:47:15	16:47:15	16:47:15			16:47:15	16:47:15	16:47:17	16:47:17	16:47:17	16:47:17	16:47:17	16:47:17			16:47:18	16:47:18		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
74	16:47:18	16:47:18	16:47:18	16:47:18	16:47:18	16:47:18			16:47:18	16:47:18	16:47:19	16:47:19	16:47:19	16:47:19	16:47:19	16:47:19			16:47:20	16:47:20		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
75	16:47:20	16:47:20	16:47:20	16:47:20	16:47:20	16:47:20			16:47:20	16:47:20	16:47:22	16:47:22	16:47:22	16:47:22	16:47:22	16:47:22			16:47:23	16:47:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
76	16:47:23	16:47:23	16:47:23	16:47:23	16:47:23	16:47:23			16:47:23	16:47:23	16:47:24	16:47:24	16:47:24	16:47:24	16:47:24	16:47:24			16:47:25	16:47:25		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
77	16:47:26	16:47:26	16:47:26	16:47:26	16:47:26	16:47:26			16:47:26	16:47:26	16:47:27	16:47:27	16:47:27	16:47:27	16:47:27	16:47:27			16:47:28	16:47:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
78	16:47:28	16:47:28	16:47:28	16:47:28	16:47:28	16:47:28			16:47:28	16:47:28	16:47:30	16:47:30	16:47:30	16:47:30	16:47:30	16:47:30			16:47:31	16:47:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
79	16:47:31	16:47:31	16:47:31	16:47:31	16:47:31	16:47:31			16:47:31	16:47:31	16:47:33	16:47:33	16:47:33	16:47:33	16:47:33	16:47:33			16:47:33	16:47:33		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
80	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34	16:47:34	16:47:36	16:47:36	16:47:36	16:47:36	16:47:36	16:47:36	16:47:36	16:47:36	16:47:37	16:47:37		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
81	16:47:38	16:47:38	16:47:38	16:47:38	16:47:38	16:47:38			16:47:38	16:47:38	16:47:39	16:47:39	16:47:39	16:47:39	16:47:39	16:47:39			16:47:40	16:47:40		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
82	16:47:40	16:47:40	16:47:40	16:47:40	16:47:41	16:47:41			16:47:41	16:47:41	16:47:42	16:47:42	16:47:42	16:47:42	16:47:42	16:47:42			16:47:43	16:47:43		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
83	16:47:43	16:47:43	16:47:43	16:47:43	16:47:43	16:47:43			16:47:43	16:47:43	16:47:44	16:47:44	16:47:44	16:47:44	16:47:44	16:47:44			16:47:45	16:47:45		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
