Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
30	10:50:21	10:50:21	10:50:21	10:50:21	10:50:21	10:50:21	10:50:21	10:50:21	10:50:21	10:50:21	10:50:22	10:50:22	10:50:22	10:50:22	10:50:22	10:50:22	10:50:22	10:50:22	10:50:24	10:50:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:03
31	10:50:24	10:50:24	10:50:24	10:50:24	10:50:24	10:50:24			10:50:24	10:50:24	10:50:25	10:50:25	10:50:25	10:50:25	10:50:25	10:50:25			10:50:26	10:50:26		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
32	10:50:27	10:50:27	10:50:27	10:50:27	10:50:27	10:50:27			10:50:27	10:50:27	10:50:28	10:50:28	10:50:28	10:50:28	10:50:28	10:50:28			10:50:29	10:50:29		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
33	10:50:29	10:50:29	10:50:29	10:50:29	10:50:29	10:50:29			10:50:29	10:50:29	10:50:30	10:50:30	10:50:30	10:50:30	10:50:30	10:50:30			10:50:31	10:50:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
34	10:50:32	10:50:32	10:50:32	10:50:32	10:50:32	10:50:32			10:50:32	10:50:32	10:50:33	10:50:33	10:50:33	10:50:33	10:50:33	10:50:33			10:50:34	10:50:34		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
35	10:50:34	10:50:34	10:50:34	10:50:34	10:50:34	10:50:34			10:50:34	10:50:34	10:50:36	10:50:36	10:50:36	10:50:36	10:50:36	10:50:36			10:50:37	10:50:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
36	10:50:37	10:50:37	10:50:37	10:50:37	10:50:37	10:50:37			10:50:37	10:50:37	10:50:38	10:50:38	10:50:38	10:50:38	10:50:38	10:50:38			10:50:39	10:50:39		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
37	10:50:39	10:50:39	10:50:39	10:50:39	10:50:40	10:50:40			10:50:40	10:50:40	10:50:41	10:50:41	10:50:41	10:50:41	10:50:41	10:50:41			10:50:42	10:50:42		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
38	10:50:42	10:50:42	10:50:42	10:50:42	10:50:42	10:50:42			10:50:42	10:50:42	10:50:43	10:50:43	10:50:43	10:50:43	10:50:43	10:50:43			10:50:44	10:50:44		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
39	10:50:45	10:50:45	10:50:45	10:50:45	10:50:45	10:50:45			10:50:45	10:50:45	10:50:46	10:50:46	10:50:46	10:50:46	10:50:46	10:50:46			10:50:47	10:50:47		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
