NumberOfBuses,BusSpacing,ReRoute,ChangeLegMode,SpeedOfFlood,AverageTimeLast,TripDistanceLast,ModeSplitLast,TotalEvacuationTime
2,1380,FALSE,TRUE,120,1730.8,4664.42307158241,0.834,5100
2,1440,FALSE,TRUE,120,1801.1,4735.768800908503,0.844,5100
2,1500,FALSE,TRUE,120,1908.2,4679.305351521965,0.854,5400
2,1560,FALSE,TRUE,120,1661.2,4588.665665558532,0.816,5100
2,1620,FALSE,TRUE,120,1771.7,4684.773817349978,0.838,5400
2,1680,FALSE,TRUE,120,1740.0,4576.583567667226,0.82,5400
2,1740,FALSE,TRUE,120,1803.9,4696.870209829588,0.836,5700
2,1800,FALSE,TRUE,120,2105.9,5042.603017666333,0.916,5700
3,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
3,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
3,240,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
3,300,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
3,360,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
3,420,FALSE,TRUE,120,1911.1,4802.217656001921,0.872,5400
3,480,FALSE,TRUE,120,1873.0,4804.5752022819115,0.868,5400
3,540,FALSE,TRUE,120,1830.7,4747.203033861153,0.85,5400
3,600,FALSE,TRUE,120,1807.2,4704.058595127986,0.85,5400
3,660,FALSE,TRUE,120,1937.1,4794.563797007463,0.882,5400
3,720,FALSE,TRUE,120,1751.8,4711.426332245978,0.838,5100
3,780,FALSE,TRUE,120,1615.8,4594.723570278685,0.798,4800
3,840,FALSE,TRUE,120,1682.1,4628.607366462548,0.808,5100
3,900,FALSE,TRUE,120,1656.5,4549.187525428151,0.804,5400
3,960,FALSE,TRUE,120,1734.6,4632.367893237033,0.822,5700
3,1020,FALSE,TRUE,120,1669.9,4670.001085059049,0.822,5100
3,1080,FALSE,TRUE,120,1682.5,4608.495994367473,0.816,4800
3,1140,FALSE,TRUE,120,1666.6,4675.670895740826,0.81,4800
3,1200,FALSE,TRUE,120,1623.9,4533.438804694455,0.792,4800
3,1260,FALSE,TRUE,120,1690.5,4635.39378347212,0.82,5100
3,1320,FALSE,TRUE,120,1708.8,4664.085766278299,0.812,5100
3,1380,FALSE,TRUE,120,1658.3,4622.954733190121,0.816,4500
3,1440,FALSE,TRUE,120,1743.6,4691.509467049739,0.826,5100
3,1500,FALSE,TRUE,120,1689.9,4564.920180749485,0.818,5400
3,1560,FALSE,TRUE,120,1605.8,4540.690781839838,0.786,5100
3,1620,FALSE,TRUE,120,1651.5,4549.863401417488,0.804,5400
3,1680,FALSE,TRUE,120,1670.6,4595.357997040961,0.81,5400
3,1740,FALSE,TRUE,120,1830.4,4721.581342577979,0.836,5400
3,1800,FALSE,TRUE,120,1648.1,4563.266759154048,0.794,5400
4,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
4,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,240,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,300,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,360,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
4,420,FALSE,TRUE,120,1911.1,4802.217656001921,0.872,5400
4,480,FALSE,TRUE,120,1728.8,4708.235571205069,0.826,4800
4,540,FALSE,TRUE,120,1587.5,4578.777156689715,0.796,4800
4,600,FALSE,TRUE,120,1650.8,4550.920409670347,0.804,5100
4,660,FALSE,TRUE,120,1738.3,4757.365772857532,0.834,5400
4,720,FALSE,TRUE,120,1626.4,4584.1969761223845,0.806,5400
4,780,FALSE,TRUE,120,1615.8,4594.723570278685,0.798,4800
4,840,FALSE,TRUE,120,1738.7,4609.9301236482015,0.814,5100
4,900,FALSE,TRUE,120,1705.5,4550.701507501629,0.816,5400
4,960,FALSE,TRUE,120,1676.1,4632.587910186087,0.81,5400
4,1020,FALSE,TRUE,120,1670.9,4629.656259302684,0.822,5100
4,1080,FALSE,TRUE,120,1605.4,4567.657337857463,0.786,4800
4,1140,FALSE,TRUE,120,1652.1,4574.713526373742,0.802,5100
4,1200,FALSE,TRUE,120,1740.4,4642.446093575542,0.82,5100
4,1260,FALSE,TRUE,120,1594.4,4526.157478725489,0.8,4800
4,1320,FALSE,TRUE,120,1581.3,4508.376308059953,0.786,5100
4,1380,FALSE,TRUE,120,1728.5,4686.412770570607,0.832,5100
4,1440,FALSE,TRUE,120,1673.9,4548.004343171513,0.81,5100
4,1500,FALSE,TRUE,120,1515.7,4514.299749811566,0.782,4800
4,1560,FALSE,TRUE,120,1564.4,4527.111607354689,0.786,4800
4,1620,FALSE,TRUE,120,1589.1,4529.325021302224,0.788,5100
4,1680,FALSE,TRUE,120,1593.2,4567.453514126633,0.794,4800
4,1740,FALSE,TRUE,120,1667.7,4538.021239308706,0.808,5100
4,1800,FALSE,TRUE,120,1727.7,4547.274745672921,0.812,5400
5,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
5,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
5,240,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
5,300,FALSE,TRUE,120,1559.4,4388.450166099446,0.776,4800
5,360,FALSE,TRUE,120,1585.2,4508.270426621201,0.784,4800
5,420,FALSE,TRUE,120,1580.9,4469.896678299919,0.784,5100
5,480,FALSE,TRUE,120,1728.8,4708.235571205069,0.826,4800
5,540,FALSE,TRUE,120,1753.9,4696.753615328746,0.828,5400
5,600,FALSE,TRUE,120,1624.8,4556.462354350164,0.796,4800
5,660,FALSE,TRUE,120,1630.0,4552.401175436995,0.792,5100
5,720,FALSE,TRUE,120,1617.6,4555.904142492832,0.802,5100
5,780,FALSE,TRUE,120,1542.4,4472.370274201973,0.776,5100
5,840,FALSE,TRUE,120,1555.0,4542.4407231549385,0.78,5100
5,900,FALSE,TRUE,120,1671.6,4737.231689153793,0.824,5400
5,960,FALSE,TRUE,120,1630.5,4560.534274789931,0.796,5100
5,1020,FALSE,TRUE,120,1619.8,4537.18540720505,0.794,5100
5,1080,FALSE,TRUE,120,1568.8,4473.443488529354,0.776,4800
5,1140,FALSE,TRUE,120,1572.1,4524.111858561008,0.776,5100
5,1200,FALSE,TRUE,120,1611.0,4508.819880571022,0.792,5100
5,1260,FALSE,TRUE,120,1545.0,4503.4743249696085,0.776,4800
5,1320,FALSE,TRUE,120,1591.2,4525.4707884683485,0.788,5100
5,1380,FALSE,TRUE,120,1621.1,4495.298971289329,0.788,5100
5,1440,FALSE,TRUE,120,1712.8,4648.404732690946,0.82,5100
5,1500,FALSE,TRUE,120,1523.8,4507.668458451351,0.778,4800
5,1560,FALSE,TRUE,120,1525.9,4424.319622537566,0.768,5400
5,1620,FALSE,TRUE,120,1562.4,4537.592435224628,0.784,4800
5,1680,FALSE,TRUE,120,1542.4,4506.61740804895,0.782,5100
5,1740,FALSE,TRUE,120,1679.9,4454.656000597007,0.788,5100
5,1800,FALSE,TRUE,120,1583.9,4595.913218291399,0.784,5100
6,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
6,180,FALSE,TRUE,120,1863.5,4843.395020596355,0.872,5400
6,240,FALSE,TRUE,120,1477.2,4429.030166752666,0.758,4800
6,300,FALSE,TRUE,120,1559.4,4388.450166099446,0.776,4800
6,360,FALSE,TRUE,120,1585.2,4508.270426621201,0.784,4800
6,420,FALSE,TRUE,120,1575.0,4516.55915574605,0.784,5100
6,480,FALSE,TRUE,120,1557.5,4403.992807548646,0.768,5100
6,540,FALSE,TRUE,120,1495.8,4515.969214506182,0.756,4800
6,600,FALSE,TRUE,120,1623.2,4592.506509748478,0.792,5100
6,660,FALSE,TRUE,120,1510.6,4511.858450417927,0.77,4800
6,720,FALSE,TRUE,120,1630.6,4611.179896414607,0.794,5100
6,780,FALSE,TRUE,120,1553.7,4457.121328920638,0.776,5100
6,840,FALSE,TRUE,120,1554.7,4546.259860390628,0.786,4800
6,900,FALSE,TRUE,120,1609.2,4484.243204588935,0.784,5100
6,960,FALSE,TRUE,120,1638.3,4568.51988378788,0.796,5100
6,1020,FALSE,TRUE,120,1581.9,4519.842268310065,0.792,4800
6,1080,FALSE,TRUE,120,1565.8,4490.087243661816,0.78,5100
6,1140,FALSE,TRUE,120,1608.0,4465.444576598945,0.782,5400
6,1200,FALSE,TRUE,120,1662.5,4645.794390547826,0.812,5100
6,1260,FALSE,TRUE,120,1505.1,4378.933881748629,0.752,4800
6,1320,FALSE,TRUE,120,1551.4,4458.246956505315,0.768,4800
6,1380,FALSE,TRUE,120,1564.0,4460.550392466207,0.776,4800
6,1440,FALSE,TRUE,120,1733.2,4722.313113569504,0.826,4800
6,1500,FALSE,TRUE,120,1552.4,4427.4232797895065,0.766,4800
6,1560,FALSE,TRUE,120,1522.8,4523.53671303533,0.774,4800
6,1620,FALSE,TRUE,120,1630.0,4568.500106292551,0.796,4800
6,1680,FALSE,TRUE,120,1617.9,4498.183279971395,0.786,5100
6,1740,FALSE,TRUE,120,1625.6,4523.996168857506,0.792,5100
6,1800,FALSE,TRUE,120,1651.3,4523.73590202283,0.796,5100
7,120,FALSE,TRUE,120,1945.2,4861.396561530948,0.874,5700
7,180,FALSE,TRUE,120,1577.4,4515.406234609767,0.78,4800
7,240,FALSE,TRUE,120,1477.2,4429.030166752666,0.758,4800
7,300,FALSE,TRUE,120,1476.8,4415.342908223601,0.748,4800
7,360,FALSE,TRUE,120,1479.1,4389.275710794004,0.746,4800
7,420,FALSE,TRUE,120,1682.4,4631.663079496387,0.818,5100
7,480,FALSE,TRUE,120,1579.0,4506.420645339531,0.78,5100
7,540,FALSE,TRUE,120,1545.6,4506.480321342186,0.774,4800
7,600,FALSE,TRUE,120,1653.4,4627.52803962254,0.792,5100
7,660,FALSE,TRUE,120,1531.4,4373.020770800226,0.756,5100
7,720,FALSE,TRUE,120,1659.0,4661.576517277577,0.806,5100
7,780,FALSE,TRUE,120,1495.5,4412.279677254444,0.764,5100
7,840,FALSE,TRUE,120,1574.9,4545.798150726304,0.78,5100
7,900,FALSE,TRUE,120,1565.4,4454.477562317781,0.762,5100
7,960,FALSE,TRUE,120,1581.7,4508.1273650879275,0.784,5100
7,1020,FALSE,TRUE,120,1570.3,4535.021037893798,0.784,5100
7,1080,FALSE,TRUE,120,1536.5,4453.363652187477,0.762,4800
7,1140,FALSE,TRUE,120,1609.9,4476.71960482623,0.78,5100
7,1200,FALSE,TRUE,120,1556.0,4532.2213146016775,0.774,4800
7,1260,FALSE,TRUE,120,1499.3,4379.431403147366,0.756,4800
7,1320,FALSE,TRUE,120,1599.3,4470.477206958961,0.768,5100
7,1380,FALSE,TRUE,120,1567.1,4577.962207873295,0.776,4800
7,1440,FALSE,TRUE,120,1570.8,4512.962097016655,0.776,4800
7,1500,FALSE,TRUE,120,1574.1,4491.11689863033,0.78,5100
7,1560,FALSE,TRUE,120,1557.1,4447.22795341148,0.772,4800
